"start","end","label"
3982.19,3993.55,"mech_plane_prop"
3998.8,4006.18,"mech_auto_truck"
4007.82,4014.89,"mech_plane_prop"
4015.17,4017.39,"mech_auto_car"
4021.19,4021.8,"ins_buzz_high"
4028.82,4054.61,"mech_auto_truck"
4065.03,4096.5,"mech_auto_truck"
4113.02,4114.21,"ins_buzz_high"
4114.86,4134.57,"mech_auto_truck"
4151.11,4162.55,"mech_auto_truck"
4159.25,4160.13,"ins_buzz_bee"
4191.65,4192.77,"ins_buzz_bee"
4194.12,4195.44,"ins_buzz_bee"
4201.38,4204.85,"ins_buzz_bee"
4209.4,4217.93,"ins_buzz_bee"
4209.93,4250.71,"mech_auto_car"
4219.41,4224.05,"ins_buzz_bee"
4228.13,4230.6,"ins_buzz_bee"
4238.39,4240.94,"ins_buzz_bee"
4242.96,4244,"ins_buzz_bee"
4247.55,4248.64,"ins_buzz_bee"
4251.29,4255.88,"ins_buzz_bee"
4260.24,4261.59,"ins_buzz_bee"
4263.75,4264.38,"ins_buzz_bee"
4267.18,4268.54,"ins_buzz_bee"
4271.29,4272.66,"ins_buzz_bee"
4276.51,4277.29,"ins_buzz_bee"
4281.19,4282.44,"ins_buzz_bee"
